1	Environmental	Aquatic	Hydrothermal vents	Marine	Diffuse flow	Diffuse hydrothermal flow volcanic vent
1	Environmental	Aquatic	Wetlands	Marine	Unclassified	Natural and restored wetlands
1	Environmental	Terrestrial	Tundra	Soil	Permafrost	Soil
1	Environmental	Aquatic	Groundwater	Deep subsurface	Contaminated	Bioremediated contaminated groundwater
1	Environmental	Terrestrial	Wetlands	Soil	Unclassified	Natural and restored wetlands
1	Environmental	Terrestrial	Wetlands	Soil	Unclassified	Natural and restored wetlands
1	Environmental	Terrestrial	Wetlands	Soil	Peat	Arctic peat soil
1	Environmental	Aquatic	Hydrothermal vents	Marine	Diffuse flow	hydrothermal vent diffuse flow fluid
1	Engineered	Bioreactor	Unclassified	Anaerobic	Unclassified	Anaerobic bioreactor
1	Environmental	Aquatic	Hydrothermal vents	Marine	Diffuse flow	hydrothermal vent diffuse flow fluid
1	Environmental	Aquatic	Unclassified	Unclassified	Unclassified	beach aquifer porewater
1	Environmental	Aquatic	Unclassified	Unclassified	Unclassified	beach aquifer porewater
1	Environmental	Aquatic	Groundwater	Freshwater	Unclassified	Well water
1	Environmental	Aquatic	Groundwater	Freshwater	Unclassified	Well water
1	Environmental	Aquatic	Wetlands	Freshwater	Unclassified	freshwater wetlands
1	Environmental	Aquatic	Lake	Freshwater	Unclassified	freshwater
1	Environmental	Aquatic	Lake	Freshwater	Unclassified	freshwater
1	Environmental	Aquatic	Lake	Freshwater	Unclassified	freshwater
1	Environmental	Aquatic	Lake	Freshwater	Unclassified	freshwater
1	Environmental	Aquatic	Lake	Freshwater	Unclassified	freshwater
1	Environmental	Aquatic	Groundwater	Deep subsurface	Unclassified	Groundwater
1	Environmental	Aquatic	Groundwater	Deep subsurface	Unclassified	Groundwater
1	Environmental	Aquatic	Hydrothermal vents	Marine	Diffuse flow	hydrothermal vent diffuse flow fluid
1	Environmental	Aquatic	Groundwater	Deep subsurface	Unclassified	Groundwater
1	Environmental	Aquatic	Groundwater	Deep subsurface	Unclassified	Groundwater
1	Environmental	Terrestrial	Rock core/Sediment	Deep subsurface	Unclassified	Deep subsurface sediment
1	Environmental	Aquatic	Lake	Freshwater	Unclassified	freshwater
1	Environmental	Terrestrial	Wetlands	Soil	Unclassified	Natural and restored wetlands
1	Environmental	Aquatic	Lake	Freshwater	Unclassified	freshwater
1	Environmental	Terrestrial	Rock core/Sediment	Deep subsurface	Unclassified	Soil
1	Environmental	Terrestrial	Rock core/Sediment	Deep subsurface	Unclassified	Soil
1	Environmental	Terrestrial	Rock core/Sediment	Deep subsurface	Unclassified	Soil
1	Environmental	Terrestrial	Wetlands	Soil	Peat	Arctic peat soil
1	Environmental	Terrestrial	Rock core/Sediment	Deep subsurface	Unclassified	Soil
1	Environmental	Terrestrial	Rock core/Sediment	Deep subsurface	Unclassified	Soil
1	Environmental	Terrestrial	Rock core/Sediment	Deep subsurface	Unclassified	Soil
1	Environmental	Terrestrial	Rock core/Sediment	Deep subsurface	Unclassified	Soil
1	Environmental	Terrestrial	Rock core/Sediment	Deep subsurface	Unclassified	Soil
1	Environmental	Terrestrial	Wetlands	Soil	Peat	Arctic peat soil
1	Environmental	Terrestrial	Rock core/Sediment	Deep subsurface	Unclassified	Soil
1	Environmental	Terrestrial	Rock core/Sediment	Deep subsurface	Unclassified	Soil
1	Environmental	Terrestrial	Wetlands	Soil	Peat	Arctic peat soil
1	Environmental	Terrestrial	Wetlands	Soil	Peat	Arctic peat soil
1	Environmental	Terrestrial	Rock core/Sediment	Deep subsurface	Unclassified	Soil
1	Environmental	Terrestrial	Rock core/Sediment	Deep subsurface	Unclassified	Soil
1	Environmental	Terrestrial	Wetlands	Soil	Peat	Arctic peat soil
1	Environmental	Aquatic	Groundwater	Deep subsurface	Contaminated	Bioremediated contaminated groundwater
1	Environmental	Aquatic	Groundwater	Deep subsurface	Contaminated	Bioremediated contaminated groundwater
1	Environmental	Aquatic	Wetlands	Marine	Unclassified	Natural and restored wetlands
1	Environmental	Aquatic	Wetlands	Marine	Unclassified	Natural and restored wetlands
1	Environmental	Aquatic	Groundwater	Freshwater	Unclassified	Groundwater
1	Environmental	Aquatic	Groundwater	Freshwater	Unclassified	Groundwater
1	Environmental	Aquatic	Groundwater	Freshwater	Unclassified	Groundwater
1	Environmental	Terrestrial	Fracking water	Deep subsurface	Unclassified	Fracture fluid
1	Environmental	Aquatic	Hydrothermal vents	Marine	Microbial mats	Hydrothermal Fe-rich mat
1	Environmental	Aquatic	Hydrothermal vents	Marine	Microbial mats	Hydrothermal Fe-rich mat
1	Environmental	Aquatic	Hydrothermal vents	Marine	Microbial mats	Hydrothermal Fe-rich mat
1	Environmental	Aquatic	Hydrothermal vents	Marine	Microbial mats	Hydrothermal Fe-rich mat
1	Environmental	Aquatic	Groundwater	Deep subsurface	Unclassified	groundwater
1	Environmental	Aquatic	Groundwater	Deep subsurface	Unclassified	groundwater
1	Environmental	Aquatic	Lake	Freshwater	Sediment	sediment
1	Environmental	Terrestrial	Wetlands	Soil	Unclassified	soil
1	Environmental	Terrestrial	Wetlands	Soil	Unclassified	soil
1	Environmental	Aquatic	Lake	Freshwater	Sediment	sediment
1	Environmental	Aquatic	Lake	Freshwater	Sediment	sediment
1	Environmental	Aquatic	Lake	Freshwater	Sediment	sediment slurry
1	Environmental	Aquatic	Groundwater	Deep subsurface	Coalbed methane well water	coal bed water
1	Environmental	Aquatic	Lake	Freshwater	Sediment	sediment
1	Environmental	Aquatic	Lake	Freshwater	Sediment	sediment
1	Environmental	Aquatic	Lake	Freshwater	Sediment	sediment
1	Environmental	Terrestrial	Aquifer	Deep subsurface	Unclassified	Terrestrial subsurface fluids
1	Environmental	Terrestrial	Aquifer	Deep subsurface	Unclassified	Terrestrial subsurface fluids
1	Environmental	Terrestrial	Aquifer	Deep subsurface	Unclassified	Terrestrial subsurface fluids
1	Environmental	Aquatic	Groundwater	Freshwater	Unclassified	Groundwater
1	Environmental	Aquatic	Groundwater	Freshwater	Unclassified	Groundwater
1	Environmental	Terrestrial	Unclassified	Soil	Unclassified	Tundra field soil
1	Environmental	Aquatic	Wetlands	Marine	Sediment	sediment
1	Environmental	Aquatic	Wetlands	Marine	Sediment	sediment
1	Environmental	Aquatic	Wetlands	Marine	Sediment	sediment
1	Environmental	Aquatic	Lake	Freshwater	Unclassified	Freshwater
1	Environmental	Aquatic	Lake	Freshwater	Unclassified	Freshwater
1	Environmental	Aquatic	River	Freshwater	Unclassified	Freshwater
1	Environmental	Terrestrial	Sediment	Floodplain	Unclassified	sediment
1	Environmental	Aquatic	River	Freshwater	Unclassified	Freshwater
1	Environmental	Terrestrial	Peat	Soil	Mire	Peat soil
1	Environmental	Terrestrial	Peat	Soil	Mire	Peat soil
1	Environmental	Aquatic	Lake	Freshwater	Sediment	Lake sediment
1	Environmental	Aquatic	Lake	Freshwater	Sediment	Lake sediment
1	Environmental	Aquatic	Lake	Freshwater	Sediment	Lake sediment
1	Environmental	Aquatic	Lake	Freshwater	Sediment	Lake sediment
1	Environmental	Aquatic	Lake	Freshwater	Sediment	Lake sediment
1	Environmental	Aquatic	Lake	Freshwater	Sediment	Lake sediment
1	Environmental	Aquatic	Groundwater	Freshwater	Unclassified	Freshwater aquifer
1	Environmental	Aquatic	Lake	Freshwater	Sediment	Euxinic sediment
1	Environmental	Aquatic	Lake	Freshwater	Sediment	Euxinic sediment
1	Environmental	Aquatic	Lake	Freshwater	Sediment	Euxinic sediment
1	Environmental	Aquatic	Lake	Freshwater	Sediment	Euxinic sediment
1	Environmental	Aquatic	Lake	Freshwater	Sediment	Euxinic Sediment
1	Environmental	Aquatic	Wetlands	Freshwater	Soil	soil
1	Environmental	Aquatic	Wetlands	Freshwater	Soil	soil
1	Environmental	Aquatic	Wetlands	Freshwater	Soil	soil
1	Environmental	Terrestrial	Wetlands	Soil	Unclassified	Soil
1	Environmental	Terrestrial	Wetlands	Soil	Unclassified	Soil
1	Environmental	Terrestrial	Wetlands	Soil	Unclassified	Soil
1	Environmental	Terrestrial	Wetlands	Soil	Unclassified	Soil
1	Environmental	Terrestrial	Wetlands	Soil	Unclassified	Soil
1	Environmental	Terrestrial	Wetlands	Soil	Unclassified	Soil
1	Environmental	Terrestrial	Wetlands	Soil	Unclassified	Soil
1	Environmental	Terrestrial	Wetlands	Soil	Unclassified	Soil
1	Environmental	Terrestrial	Wetlands	Soil	Unclassified	Soil
1	Environmental	Terrestrial	Wetlands	Soil	Unclassified	Soil
1	Environmental	Terrestrial	Wetlands	Soil	Unclassified	Soil
1	Environmental	Terrestrial	Wetlands	Soil	Unclassified	Soil
1	Environmental	Terrestrial	Wetlands	Soil	Unclassified	Soil
1	Environmental	Terrestrial	Wetlands	Soil	Unclassified	Soil
1	Environmental	Terrestrial	Wetlands	Soil	Unclassified	Soil
1	Environmental	Terrestrial	Wetlands	Soil	Unclassified	Soil
1	Environmental	Terrestrial	Wetlands	Soil	Peat	Arctic peat soil
1	Environmental	Terrestrial	Wetlands	Soil	Peat	Arctic peat soil
1	Environmental	Terrestrial	Wetlands	Soil	Peat	Arctic peat soil
1	Environmental	Terrestrial	Wetlands	Soil	Peat	Arctic peat soil
1	Environmental	Terrestrial	Wetlands	Soil	Peat	Arctic peat soil
1	Environmental	Aquatic	Groundwater	Deep subsurface	Contaminated	Bioremediated contaminated groundwater
1	Environmental	Aquatic	Lentic	Freshwater	Unclassified
1	Environmental	Aquatic	Lentic	Freshwater	Unclassified
